"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 20 09:23:26 TRT 2023","Mon Mar 20 09:23:30 TRT 2023","3459","Default Suite","firstprojectselenium","seleniumallure","seleniumallure","googlesearch","googlesearch","Some detailed test description"
"passed","Mon Mar 20 09:23:14 TRT 2023","Mon Mar 20 09:23:26 TRT 2023","12390","Default Suite","firstprojectselenium","seleniumallure","seleniumallure","amazonsearch","amazonsearch",""
"broken","Mon Mar 20 09:23:30 TRT 2023","Mon Mar 20 09:23:49 TRT 2023","19259","Default Suite","firstprojectselenium","seleniumallure","seleniumallure","mvnrepositorysearch","mvnrepositorysearch",""
